Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
équinoxe;1578;0.030;0.030;0.000;0.050;0.050;0.000
étamine;1576;0.265;0.206;-0.059;0.000;0.783;0.783
éthéré;4140;0.331;0.365;0.034;0.200;0.200;0.000
abscons;8190;0.290;0.062;-0.228;0.850;0.850;0.000
ambiguïté;1832;0.040;0.040;0.000;1.000;0.838;-0.162
anathème;4888;0.157;0.091;-0.066;0.850;0.850;0.000
apostasie;1635;0.367;0.314;-0.053;0.850;0.850;0.000
casuistique;1724;0.326;0.276;-0.050;0.900;0.900;0.000
chimère;3291;0.020;0.020;0.000;0.850;0.850;0.000
conjecture;2313;0.422;0.331;-0.091;0.850;0.850;0.000
contingence;2567;0.412;0.415;0.003;1.000;1.000;0.000
cryptique;2466;0.981;0.441;-0.540;0.900;0.900;0.000
dirimant;4297;0.628;0.396;-0.232;0.850;0.850;0.000
dogme;2461;0.081;0.000;-0.081;0.850;0.850;0.000
haruspice;1249;1.000;1.000;0.000;0.850;0.850;0.000
hermétique;2156;0.054;0.050;-0.004;0.900;0.900;0.000
heuristique;8933;0.726;0.380;-0.346;0.900;0.900;0.000
imbrication;366;0.359;0.359;0.000;1.000;1.000;0.000
immanence;1067;0.729;0.557;-0.172;1.000;1.000;0.000
infrangible;1072;0.469;0.463;-0.006;0.850;0.850;0.000
intrinsèque;4730;0.387;0.219;-0.168;0.850;0.850;0.000
maxime;2424;0.112;0.075;-0.037;0.850;0.850;0.000
métaphysique;2345;0.070;0.070;0.000;0.900;0.900;0.000
noumène;811;0.713;0.713;0.000;0.850;0.850;0.000
némésis;7449;0.889;0.933;0.044;0.850;0.850;0.000
obsidional;8026;0.607;0.348;-0.259;0.850;0.850;0.000
onirique;3744;0.396;0.341;-0.055;0.900;0.900;0.000
ontologie;4415;0.543;0.457;-0.086;1.000;1.000;0.000
ontologique;2116;0.426;0.356;-0.070;0.900;0.900;0.000
paradigme;4998;0.485;0.389;-0.096;0.850;0.850;0.000
présage;1135;0.020;0.020;0.000;0.850;0.850;0.000
pythonisse;1463;0.501;0.493;-0.008;0.850;0.850;0.000
quintessence;4894;0.172;0.073;-0.099;1.000;1.000;0.000
scholastique;301;1.000;1.000;0.000;0.900;0.900;0.000
sibyllin;5709;0.183;0.030;-0.153;0.850;0.850;0.000
solipsisme;1351;1.000;0.592;-0.408;1.000;1.000;0.000
sophisme;2254;0.426;0.428;0.002;1.000;1.000;0.000
stigmate;2156;0.394;0.360;-0.034;0.850;0.850;0.000
stoïque;1799;0.147;0.083;-0.064;0.850;0.850;0.000
substantifique;314;0.556;0.556;0.000;0.900;0.900;0.000
syllogisme;1654;0.617;0.571;-0.046;1.000;1.000;0.000
syncrétisme;1812;0.621;0.571;-0.050;1.000;1.000;0.000
synesthésie;2079;1.000;0.473;-0.527;0.850;0.850;0.000
sérendipité;10026;0.910;0.441;-0.469;1.000;1.000;0.000
thaumaturge;3096;0.426;0.379;-0.047;0.850;0.850;0.000
transcendance;936;0.325;0.325;0.000;1.000;1.000;0.000
truisme;6735;0.495;0.393;-0.102;1.000;1.000;0.000
téléologique;1181;1.000;0.571;-0.429;0.900;0.900;0.000
éclectisme;590;0.576;0.576;0.000;1.000;1.000;0.000
énigmatique;628;0.060;0.060;0.000;0.900;0.900;0.000
épicurien;3404;0.310;0.177;-0.133;0.850;0.850;0.000
ésotérique;2758;0.273;0.178;-0.095;0.900;0.900;0.000
abattement;845;0.050;0.050;0.000;0.750;0.750;0.000
abnégation;5035;0.050;0.050;0.000;0.900;0.900;0.000
aboulie;1695;0.535;0.525;-0.010;0.750;0.750;0.000
accablement;341;0.060;0.060;0.000;0.750;0.750;0.000
affliction;2844;0.050;0.050;0.000;0.900;0.900;0.000
alacrité;5986;0.275;0.109;-0.166;0.900;0.900;0.000
allégresse;2651;0.050;0.050;0.000;0.750;0.807;0.057
anémie;1108;0.094;0.090;-0.004;0.750;0.750;0.000
apathie;1890;0.080;0.020;-0.060;0.750;0.750;0.000
ataraxie;3121;0.649;0.626;-0.023;0.750;0.750;0.000
atone;2243;0.205;0.092;-0.113;0.750;0.750;0.000
bannissement;326;0.161;0.161;0.000;0.750;0.750;0.000
chagrin;3726;0.020;0.020;0.000;0.750;0.522;-0.228
claustration;556;0.211;0.211;0.000;0.900;0.900;0.000
commisération;4387;0.080;0.080;0.000;0.900;0.900;0.000
concorde;1878;0.066;0.030;-0.036;0.750;0.750;0.000
consternation;772;0.080;0.080;0.000;0.900;0.900;0.000
cors;610;0.052;0.052;0.000;0.750;0.667;-0.083
courroux;2509;0.030;0.030;0.000;0.750;0.750;0.000
cénesthésie;732;1.000;1.000;0.000;0.750;0.750;0.000
dilection;2889;0.310;0.212;-0.098;0.900;0.900;0.000
dolent;1605;0.233;0.167;-0.066;0.750;0.750;0.000
désabusé;1503;0.030;0.030;0.000;0.750;0.750;0.000
effervescence;1406;0.080;0.080;0.000;0.900;0.900;0.000
exaltation;1291;0.050;0.050;0.000;0.900;0.773;-0.127
extase;1876;0.010;0.010;0.000;0.750;0.677;-0.073
ferveur;1778;0.020;0.020;0.000;0.750;0.795;0.045
