mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire
quint;1.0;0.6063;2.301;1.0;archaïque;Esprit & Caractère
pâmer;1.0;0.6062;2.785;10.167;littéraire;Art & Langage
plaintif;1.0;0.606;3.52;4.086;poétique;Esprit & Caractère
lilial;1.0;0.6059;2.613;10.0;poétique;Nature & Cosmos
mouvoir;1.0;0.6058;3.629;7.345;littéraire;Esprit & Caractère
encor;1.0;0.6054;2.431;0.643;poétique;Sentiments & Psyché
appariteur;1.0;0.6044;2.531;1.214;archaïque;Esprit & Caractère
fourrier;1.0;0.6041;3.228;50.0;littéraire;Esprit & Caractère
ironiser;1.0;0.6041;3.004;10.0;littéraire;Art & Langage
préau;1.0;0.6039;3.545;35.1;poétique;Esprit & Caractère
tourbe;1.0;0.6037;3.292;4.455;littéraire;Nature & Cosmos
aquilon;1.0;0.6035;2.672;10.0;poétique;Nature & Cosmos
lointainement;1.0;0.6035;2.672;10.0;littéraire;Temps & Éphémère
poindre;1.0;0.6032;3.453;0.556;littéraire;Art & Langage
correspondance;1.0;0.6031;4.075;2.231;littéraire;Sentiments & Psyché
sillon;1.0;0.603;3.863;15.87;littéraire+poétique;Nature & Cosmos
bergerie;1.0;0.6028;3.453;2.869;littéraire;Art & Langage
moutonner;1.0;0.6027;2.431;10.0;littéraire;Esprit & Caractère
voire;1.0;0.6023;4.228;2.276;littéraire;Art & Langage
saoul;1.0;0.6021;3.976;1.211;archaïque;Nature & Cosmos
tympan;1.0;0.602;3.545;3.944;littéraire;Nature & Cosmos
brisure;1.0;0.6016;2.869;10.0;poétique;Sentiments & Psyché
oye;1.0;0.6014;2.978;4.524;archaïque;Esprit & Caractère
phalange;1.0;0.6011;3.545;8.357;littéraire;Art & Langage
subjuguer;1.0;0.601;3.19;4.429;littéraire;Esprit & Caractère
dépouille;1.0;0.6004;3.699;2.959;littéraire;Nature & Cosmos
mixte;1.0;0.6;3.362;1.031;archaïque;Nature & Cosmos
satire;1.0;0.5995;2.613;1.519;littéraire;Art & Langage
moindrement;1.0;0.5994;1.845;3.5;littéraire;Temps & Éphémère
fronde;1.0;0.5993;3.228;1.965;poétique;Esprit & Caractère
survivance;1.0;0.599;2.944;22.0;littéraire;Temps & Éphémère
promouvoir;1.0;0.5989;3.21;0.455;littéraire;Esprit & Caractère
désobligeant;1.0;0.5985;3.004;11.222;soutenu;Esprit & Caractère
tablature;1.0;0.5982;1.845;10.0;archaïque;Art & Langage
crapule;1.0;0.598;3.398;0.564;archaïque;Nature & Cosmos
poussinière;1.0;0.598;1.845;10.0;poétique;Art & Langage
hymen;1.0;0.5974;2.531;0.166;poétique;Nature & Cosmos
indolent;1.0;0.5969;3.086;9.385;littéraire;Esprit & Caractère
clameur;1.0;0.5968;3.749;7.685;littéraire;Art & Langage
brise;1.0;0.5963;4.037;1.943;littéraire+poétique;Nature & Cosmos
obligeance;1.0;0.5963;3.19;1.845;soutenu;Sentiments & Psyché
obligeant;1.0;0.596;3.033;6.353;soutenu;Esprit & Caractère
fructueux;1.0;0.5958;3.13;4.219;poétique;Esprit & Caractère
dériveur;1.0;0.5957;2.146;1.0;archaïque;Esprit & Caractère
incendier;1.0;0.5957;3.276;2.032;littéraire;Esprit & Caractère
péril;1.0;0.5957;4.0;1.582;soutenu;Temps & Éphémère
fleuronner;1.0;0.5956;1.845;10.0;littéraire;Art & Langage
albâtre;1.0;0.5955;3.473;5.211;poétique;Nature & Cosmos
nautonier;1.0;0.595;2.301;10.0;poétique;Esprit & Caractère
ouater;1.0;0.5949;2.833;10.0;littéraire;Lumière & Ombres
septentrion;1.0;0.5948;1.845;0.438;soutenu;Nature & Cosmos
atlante;1.0;0.5946;2.431;5.4;littéraire;Nature & Cosmos
interlope;1.0;0.5943;2.531;10.0;soutenu;Esprit & Caractère
nonnain;1.0;0.5935;2.785;10.0;littéraire;Esprit & Caractère
lavandière;1.0;0.5932;3.004;50.0;littéraire;Art & Langage
redire;1.0;0.5928;3.705;1.668;soutenu;Art & Langage
ivoire;1.0;0.5924;3.894;4.0;poétique;Lumière & Ombres
