Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
bouge	5.01	1.43	0.5263	3.33	3.06	-0.3161
bougie	3.67	1.18	-1.8713	6.80	0.21	0.3008
bouilloire	4.25	1.34	-0.7635	6.40	1.04	-0.2249
boulanger	3.47	1.35	-0.6348	5.37	2.59	-0.5184
boulangerie	3.63	1.37	-0.5575	5.74	1.32	-1.0215
bouleau	3.34	1.45	0.1949	5.88	2.86	0.2762
boulet	2.25	1.13	-0.6038	4.74	3.96	0.6562
boulette	3.38	1.54	0.8916	6.08	1.10	-0.6843
boulevard	4.79	1.48	0.6689	5.12	2.53	-0.7721
boulon	1.94	1.08	-0.2466	4.38	4.49	1.3508
boulot	3.23	1.53	0.9161	4.19	3.84	0.3751
bouquet	3.81	1.08	-2.5077	6.45	0.71	-0.2458
bouquineur	1.54	0.86	-0.3852	3.25	3.42	0.1470
bourde	1.87	1.08	-0.0836	1.74	1.69	0.4300
bourdon	2.77	1.54	1.4884	5.08	4.37	1.4389
bourgeoisie	2.75	1.29	-0.3849	3.66	3.10	-0.4406
bourreau	2.32	1.06	-1.1478	3.87	4.16	0.8596
bourse	4.62	1.34	-0.5448	5.02	3.06	-0.3108
bouse	1.64	1.00	0.0449	2.81	5.02	2.8876
bouseux	1.64	0.87	-0.6080	2.06	2.66	0.6414
boussole	3.11	1.31	-0.6576	6.61	0.67	0.0215
bout	4.76	1.62	1.8050	4.19	3.53	-0.0246
boutade	1.48	0.79	-0.5284	1.48	1.14	0.6429
boute-en-train	1.88	1.15	0.3120	2.48	3.39	0.8359
bouteille	5.69	1.15	-0.2938	6.64	0.61	0.0607
boutique	4.57	1.47	0.3975	5.54	1.66	-1.0559
bouton	5.13	1.38	0.3078	6.43	0.86	-0.2347
boutonnière	2.33	1.29	0.2854	4.98	3.61	0.3094
boyau	2.68	1.35	0.1381	5.45	4.16	1.4235
braise	2.91	1.53	1.2310	3.90	4.45	1.2947
