word,freqlivres,freqfilms,ratio,zipf_livres,zipf_films,cgrams,tier
chaotique,1.8900,0.7600,2.4675,3.2765,2.8808,ADJ,intermediaire
bambin,2.1600,0.8700,2.4659,3.3345,2.9395,NOM,intermediaire
expérimentation,2.1600,0.8700,2.4659,3.3345,2.9395,NOM,intermediaire
sculpter,2.1600,0.8700,2.4659,3.3345,2.9395,VER,intermediaire
colosse,6.0800,2.4600,2.4656,3.7839,3.3909,NOM,debutant
colombophile,0.6800,0.2700,2.4643,2.8325,2.4314,"ADJ, NOM",intermediaire
crémerie,0.6800,0.2700,2.4643,2.8325,2.4314,NOM,intermediaire
feinter,0.6800,0.2700,2.4643,2.8325,2.4314,VER,intermediaire
guêpier,0.6800,0.2700,2.4643,2.8325,2.4314,NOM,intermediaire
kommandantur,0.6800,0.2700,2.4643,2.8325,2.4314,NOM,intermediaire
rebondissement,0.6800,0.2700,2.4643,2.8325,2.4314,NOM,intermediaire
ronflant,0.6800,0.2700,2.4643,2.8325,2.4314,ADJ,intermediaire
mesurer,16.3500,6.6300,2.4639,4.2135,3.8215,VER,debutant
supplément,6.4200,2.6000,2.4636,3.8075,3.4150,NOM,debutant
défaut,27.7000,11.2400,2.4631,4.4425,4.0508,NOM,debutant
frappant,1.9600,0.7900,2.4625,3.2923,2.8976,ADJ,intermediaire
tourmenté,3.2400,1.3100,2.4621,3.5105,3.1173,ADJ,debutant
idolâtrie,0.9500,0.3800,2.4615,2.9777,2.5798,NOM,intermediaire
indolent,0.9500,0.3800,2.4615,2.9777,2.5798,ADJ,intermediaire
ministériel,0.9500,0.3800,2.4615,2.9777,2.5798,ADJ,intermediaire
phallique,0.9500,0.3800,2.4615,2.9777,2.5798,ADJ,intermediaire
pucelage,0.9500,0.3800,2.4615,2.9777,2.5798,NOM,intermediaire
terrier,2.2300,0.9000,2.4615,3.3483,2.9542,NOM,intermediaire
flatter,3.7800,1.5300,2.4610,3.5775,3.1847,VER,debutant
croix,71.6200,29.1000,2.4607,4.8550,4.4639,NOM,debutant
procession,7.9100,3.2100,2.4596,3.8982,3.5065,NOM,debutant
hétérosexuel,1.4900,0.6000,2.4590,3.1732,2.7782,ADJ,intermediaire
vicelard,1.4900,0.6000,2.4590,3.1732,2.7782,ADJ,intermediaire
vocation,21.8200,8.8700,2.4583,4.3389,3.9479,NOM,debutant
casseur,1.7600,0.7100,2.4583,3.2455,2.8513,NOM,intermediaire
intimidation,1.7600,0.7100,2.4583,3.2455,2.8513,NOM,intermediaire
migration,1.7600,0.7100,2.4583,3.2455,2.8513,NOM,intermediaire
kermesse,2.3000,0.9300,2.4574,3.3617,2.9685,NOM,intermediaire
bûche,5.1400,2.0900,2.4524,3.7110,3.3201,NOM,debutant
harmonie,15.6100,6.3600,2.4521,4.1934,3.8035,NOM,debutant
philosophe,13.7100,5.5900,2.4500,4.1370,3.7474,"ADJ, NOM",debutant
coton,24.6600,10.0600,2.4499,4.3920,4.0026,NOM,debutant
considération,12.3600,5.0400,2.4495,4.0920,3.7024,NOM,debutant
vaincu,5.9400,2.4200,2.4486,3.7738,3.3838,"ADJ, NOM",debutant
révérence,6.0100,2.4500,2.4472,3.7789,3.3892,NOM,debutant
casbah,4.3200,1.7600,2.4463,3.6355,3.2455,NOM,debutant
tiers,16.2800,6.6500,2.4459,4.2117,3.8228,"ADJ, NOM",debutant
torchon,7.2300,2.9500,2.4459,3.8591,3.4698,NOM,debutant
hostile,15.4700,6.3200,2.4455,4.1895,3.8007,ADJ,debutant
baveur,0.2100,0.0800,2.4444,2.3222,1.9031,"ADJ, NOM",intermediaire
conciliateur,0.2100,0.0800,2.4444,2.3222,1.9031,"ADJ, NOM",intermediaire
géopolitique,0.2100,0.0800,2.4444,2.3222,1.9031,"ADJ, NOM",intermediaire
mentalité,5.2700,2.1500,2.4444,3.7218,3.3324,NOM,debutant
profanateur,0.2100,0.0800,2.4444,2.3222,1.9031,"ADJ, NOM",intermediaire
détestable,4.1200,1.6800,2.4438,3.6149,3.2253,ADJ,debutant
