mot;score_v2;classe;zipf_books;ratio;categories_wikt
carmagnole;1.0;Excellent;2.672;10.0;archaïque
chaume;1.0;Excellent;3.687;13.5;poétique
chaumine;1.0;Excellent;2.613;3.727;littéraire
chenu;1.0;Excellent;2.732;3.857;poétique
chevaucheur;1.0;Excellent;1.845;10.0;littéraire
choir;1.0;Excellent;3.838;20.879;littéraire
châtel;1.0;Excellent;1.845;10.0;archaïque
circonstanciel;1.0;Excellent;1.845;10.0;soutenu
civilement;1.0;Excellent;2.869;18.5;archaïque
clameur;1.0;Excellent;3.749;7.685;littéraire
cohorte;1.0;Excellent;3.52;6.755;poétique
commodité;1.0;Excellent;3.276;7.269;archaïque+soutenu
commère;1.0;Excellent;3.386;7.147;archaïque
compas;1.0;Excellent;3.453;1.893;littéraire
confins;1.0;Excellent;3.863;4.398;littéraire
congru;1.0;Excellent;2.531;10.0;soutenu
conseilleur;1.0;Excellent;1.845;10.0;littéraire
contempteur;1.0;Excellent;2.431;27.0;littéraire
coquebin;1.0;Excellent;2.531;10.0;littéraire
corail;1.0;Excellent;3.473;2.856;poétique
courber;1.0;Excellent;3.681;9.796;poétique
courre;1.0;Excellent;3.464;3.88;archaïque
courtaud;1.0;Excellent;2.785;2.905;littéraire
courtil;1.0;Excellent;1.845;10.0;poétique
courtisan;1.0;Excellent;3.32;3.167;soutenu
cristallin;1.0;Excellent;3.26;7.0;poétique
crépusculaire;1.0;Excellent;3.276;50.0;littéraire
cétacé;1.0;Excellent;2.146;4.667;littéraire
dahoméen;1.0;Excellent;1.845;10.0;archaïque
darder;1.0;Excellent;2.869;10.0;poétique
derechef;1.0;Excellent;3.511;50.0;littéraire
diane;1.0;Excellent;2.613;13.667;littéraire+poétique
difficultueux;1.0;Excellent;1.845;10.0;littéraire
disant;1.0;Excellent;3.847;5.535;littéraire
dissension;1.0;Excellent;2.978;2.639;littéraire
diurnal;1.0;Excellent;1.845;10.0;littéraire
dorer;1.0;Excellent;3.749;6.233;poétique
douteur;1.0;Excellent;2.146;10.0;littéraire
dubitation;1.0;Excellent;1.845;10.0;littéraire
