mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
trémuler;0.7867;0.6334;1.0;2.301;10.0;littéraire;Art & Langage;non;Excellent
séraphique;0.7861;0.6323;1.0;2.531;10.0;littéraire;Art & Langage;non;Excellent
cascadeur;0.7853;0.6307;1.0;2.146;0.074;littéraire;Art & Langage;non;Excellent
bellement;0.7848;0.6295;1.0;2.732;3.857;littéraire;Esprit & Caractère;non;Excellent
tétin;0.7845;0.629;1.0;2.301;10.0;littéraire;Nature & Cosmos;non;Excellent
faunesque;0.7841;0.6281;1.0;1.845;10.0;littéraire;Lumière & Ombres;non;Excellent
dubitation;0.784;0.628;1.0;1.845;10.0;littéraire;Sentiments & Psyché;non;Excellent
proéminer;0.7837;0.6274;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
poncif;0.7835;0.6271;1.0;2.672;10.0;littéraire;Nature & Cosmos;non;Excellent
matutinal;0.7835;0.6269;1.0;2.146;10.0;littéraire;Temps & Éphémère;non;Excellent
artificieux;0.7833;0.6267;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
accort;0.7832;0.6264;1.0;2.431;13.5;littéraire;Esprit & Caractère;non;Excellent
crépusculaire;0.7825;0.6249;1.0;3.276;50.0;littéraire;Lumière & Ombres;non;Excellent
hyperbole;0.7821;0.6242;1.0;2.301;2.222;littéraire;Philosophie & Idées;non;Excellent
vulgarité;0.782;0.669;0.85;3.728;3.358;soutenu;Esprit & Caractère;non;Excellent
vibratile;0.7805;0.621;1.0;2.301;20.0;littéraire;Nature & Cosmos;non;Excellent
surréel;0.7804;0.6207;1.0;2.301;10.0;littéraire;Temps & Éphémère;non;Excellent
aimeur;0.7803;0.6206;1.0;1.845;10.0;littéraire;Art & Langage;non;Excellent
onéreux;0.7802;0.6204;1.0;2.833;1.133;littéraire;Esprit & Caractère;non;Excellent
ligneux;0.78;0.6201;1.0;2.301;10.0;littéraire;Nature & Cosmos;non;Excellent
chevaucheur;0.78;0.62;1.0;1.845;10.0;littéraire;Art & Langage;non;Excellent
astreinte;0.7799;0.6197;1.0;1.845;3.5;littéraire;Esprit & Caractère;non;Excellent
chaumine;0.7798;0.6195;1.0;2.613;3.727;littéraire;Art & Langage;non;Excellent
quantième;0.7796;0.6191;1.0;1.845;10.0;littéraire;Philosophie & Idées;non;Excellent
ponctuer;0.7794;0.6188;1.0;3.334;50.0;littéraire;Art & Langage;non;Excellent
salacité;0.7789;0.6179;1.0;2.146;10.0;littéraire;Sentiments & Psyché;non;Excellent
coutumier;0.7788;0.6176;1.0;3.41;12.85;littéraire;Esprit & Caractère;non;Excellent
éonisme;0.7787;0.6175;1.0;1.845;10.0;littéraire;Philosophie & Idées;non;Excellent
vastitude;0.7781;0.6162;1.0;2.301;10.0;littéraire;Sentiments & Psyché;non;Excellent
mânes;0.7777;0.6554;1.0;2.613;41.0;poétique;Esprit & Caractère;non;Excellent
difficultueux;0.7777;0.6154;1.0;1.845;10.0;littéraire;Esprit & Caractère;non;Excellent
signifiance;0.7775;0.6151;1.0;1.845;0.5;littéraire;Philosophie & Idées;non;Excellent
bouvier;0.7774;0.6149;1.0;2.833;5.667;littéraire;Esprit & Caractère;non;Excellent
logorrhée;0.7772;0.6145;1.0;2.431;4.5;littéraire;Art & Langage;non;Excellent
occire;0.777;0.614;1.0;2.613;4.1;littéraire;Nature & Cosmos;non;Excellent
barde;0.777;0.6139;1.0;2.613;2.278;littéraire;Art & Langage;non;Excellent
sylvain;0.7767;0.6134;1.0;1.845;10.0;littéraire;Nature & Cosmos;non;Excellent
objurgation;0.7766;0.6133;1.0;3.276;10.0;littéraire;Esprit & Caractère;non;Excellent
coquebin;0.7764;0.6129;1.0;2.531;10.0;littéraire;Nature & Cosmos;non;Excellent
cétacé;0.776;0.6121;1.0;2.146;4.667;littéraire;Nature & Cosmos;non;Excellent
vermisseau;0.7758;0.6116;1.0;1.845;0.241;littéraire;Esprit & Caractère;non;Excellent
arène;0.7751;0.6552;0.85;3.615;1.831;littéraire+poétique;Nature & Cosmos;non;Excellent
boiteux;0.7751;0.6502;1.0;3.348;1.104;poétique;Esprit & Caractère;non;Excellent
béer;0.7748;0.6096;1.0;3.004;10.1;littéraire;Nature & Cosmos;non;Excellent
mercuriale;0.7746;0.6093;1.0;1.845;10.0;littéraire;Nature & Cosmos;non;Excellent
échevelé;0.7746;0.6093;1.0;3.32;50.0;littéraire;Nature & Cosmos;non;Excellent
balsamique;0.7746;0.6091;1.0;2.613;4.1;littéraire;Art & Langage;non;Excellent
passereau;0.7742;0.6084;1.0;2.785;2.033;littéraire;Nature & Cosmos;non;Excellent
rêne;0.774;0.6531;0.85;3.749;2.538;soutenu;Nature & Cosmos;non;Excellent
médianoche;0.774;0.6081;1.0;2.672;10.0;littéraire;Nature & Cosmos;non;Excellent
