mot;score_v3;classe;zipf_books;ratio;categories_wikt
confins;1.0;Excellent;3.863;4.398;littéraire
confondre;1.0;Excellent;4.12;2.729;soutenu
congru;1.0;Excellent;2.531;10.0;soutenu
conseilleur;1.0;Excellent;1.845;10.0;littéraire
conserver;1.0;Excellent;4.245;3.26;soutenu
consommer;1.0;Excellent;3.615;1.373;littéraire
contaminer;1.0;Excellent;3.033;0.403;littéraire
contempteur;1.0;Excellent;2.431;27.0;littéraire
coquebin;1.0;Excellent;2.531;10.0;littéraire
corail;1.0;Excellent;3.473;2.856;poétique
correspondance;1.0;Excellent;4.075;2.231;littéraire
coupon;1.0;Excellent;3.086;1.034;archaïque
courber;1.0;Excellent;3.681;9.796;poétique
couronner;1.0;Excellent;3.562;2.517;soutenu
courre;1.0;Excellent;3.464;3.88;archaïque
coursier;1.0;Excellent;3.292;0.483;littéraire+soutenu
courtaud;1.0;Excellent;2.785;2.905;littéraire
courtil;1.0;Excellent;1.845;10.0;poétique
courtisan;1.0;Excellent;3.32;3.167;soutenu
coutumier;1.0;Excellent;3.41;12.85;littéraire
coîffe;1.0;Excellent;3.656;7.306;archaïque
crapule;1.0;Excellent;3.398;0.564;archaïque
cristallin;1.0;Excellent;3.26;7.0;poétique
cristallisation;1.0;Excellent;2.431;1.35;littéraire
crépusculaire;1.0;Excellent;3.276;50.0;littéraire
cygne;1.0;Excellent;3.668;0.883;poétique
cétacé;1.0;Excellent;2.146;4.667;littéraire
dahoméen;1.0;Excellent;1.845;10.0;archaïque
dard;1.0;Excellent;3.19;1.192;poétique
darder;1.0;Excellent;2.869;10.0;poétique
dentelle;1.0;Excellent;4.243;5.757;littéraire
dentition;1.0;Excellent;2.613;0.383;littéraire
derechef;1.0;Excellent;3.511;50.0;littéraire
destinée;1.0;Excellent;3.92;0.962;poétique
difficultueux;1.0;Excellent;1.845;10.0;littéraire
diligence;1.0;Excellent;3.373;0.726;littéraire
dindon;1.0;Excellent;2.869;0.602;soutenu
disant;1.0;Excellent;3.847;5.535;littéraire
dissension;1.0;Excellent;2.978;2.639;littéraire
diurnal;1.0;Excellent;1.845;10.0;littéraire
dorer;1.0;Excellent;3.749;6.233;poétique
doré;1.0;Excellent;4.215;7.108;poétique
douteur;1.0;Excellent;2.146;10.0;littéraire
dubitation;1.0;Excellent;1.845;10.0;littéraire
déchirer;1.0;Excellent;3.954;1.207;littéraire
déchoir;1.0;Excellent;3.173;50.0;littéraire
décombre;1.0;Excellent;3.816;6.009;littéraire
déconcerter;1.0;Excellent;3.152;7.474;littéraire
décret;1.0;Excellent;3.808;1.814;littéraire
décéder;1.0;Excellent;3.21;0.39;soutenu
décédé;1.0;Excellent;2.672;0.297;soutenu
déduit;1.0;Excellent;2.431;1.286;littéraire
déparer;1.0;Excellent;2.672;4.273;soutenu
dépouille;1.0;Excellent;3.699;2.959;littéraire
dériveur;1.0;Excellent;2.146;1.0;archaïque
désobligeance;1.0;Excellent;2.146;10.0;soutenu
désobligeant;1.0;Excellent;3.004;11.222;soutenu
désolé;1.0;Excellent;3.812;0.034;soutenu
eau-forte;1.0;Excellent;2.431;0.9;archaïque
efflorescence;1.0;Excellent;2.431;27.0;littéraire
empresser;1.0;Excellent;3.398;19.231;littéraire
encor;1.0;Excellent;2.431;0.643;poétique
enrhumé;1.0;Excellent;2.908;3.857;littéraire
ensanglanter;1.0;Excellent;2.944;1.956;poétique
entéléchie;1.0;Excellent;1.845;10.0;littéraire
esseuler;1.0;Excellent;2.146;0.824;littéraire
estoc;1.0;Excellent;2.301;1.25;littéraire
extatique;1.0;Excellent;3.004;4.591;soutenu
exultation;1.0;Excellent;2.833;13.6;littéraire
faction;1.0;Excellent;3.571;5.391;soutenu
faluche;1.0;Excellent;2.146;10.0;archaïque
fantasquement;1.0;Excellent;1.845;10.0;littéraire
faquin;1.0;Excellent;2.301;0.444;littéraire
faucille;1.0;Excellent;3.348;4.373;poétique
faunesque;1.0;Excellent;1.845;10.0;littéraire
faunesse;1.0;Excellent;1.845;10.0;poétique
favori;1.0;Excellent;3.764;1.119;soutenu
feintise;1.0;Excellent;1.845;10.0;littéraire
ferraille;1.0;Excellent;4.037;2.578;littéraire
fleuronner;1.0;Excellent;1.845;10.0;littéraire
flexuosité;1.0;Excellent;1.845;10.0;littéraire
flouer;1.0;Excellent;2.732;1.385;littéraire
fluer;1.0;Excellent;1.845;10.0;littéraire
fondement;1.0;Excellent;3.386;1.381;poétique
fonduë;1.0;Excellent;2.869;0.712;archaïque
forgerie;1.0;Excellent;1.845;10.0;littéraire
foucade;1.0;Excellent;2.531;10.0;littéraire
foudroyant;1.0;Excellent;3.511;32.4;poétique
fourrier;1.0;Excellent;3.228;50.0;littéraire
fourrière;1.0;Excellent;2.908;0.286;littéraire
frayer;1.0;Excellent;3.687;4.718;littéraire
frileux;1.0;Excellent;3.562;4.932;littéraire
froidure;1.0;Excellent;3.19;14.091;littéraire+poétique
fronde;1.0;Excellent;3.228;1.965;poétique
fructueux;1.0;Excellent;3.13;4.219;poétique
